Description: Acceleration measurements for 3 axes
Lines: 80001
TS: 443839735 ms 
Sampling frequency: 26736 Hz 
Units: m/s^2
Data:
-6.6125655 -7.9298143 0.3900301 
-6.5694947 -7.8388872 0.2656033 
-6.5012989 -7.8640118 0.3541377 
-6.5587268 -7.8723865 0.4582255 
-6.5742803 -7.8113694 0.4881358 
-6.6209402 -7.8101730 0.3984050 
-6.6592255 -7.7874413 0.3493521 
-6.6352973 -7.8364940 0.3828516 
-6.5455666 -7.7838521 0.2285146 
-6.4642105 -7.7790666 0.2572284 
-6.5922265 -7.8400836 0.3278167 
-6.5168524 -7.7599239 0.3637090 
-6.4630141 -7.8101730 0.3589234 
-6.5060849 -7.8209410 0.2572284 
-6.5611196 -7.8245301 0.3361916 
-6.5060849 -7.7790666 0.3517449 
-6.5060849 -7.8293157 0.3996014 
-6.6113691 -7.9405818 0.4139583 
-6.4977098 -7.7754774 0.3409772 
-6.4582281 -7.8077803 0.3876373 
-6.5264239 -7.8400836 0.3074777 
-6.6293149 -7.8400836 0.3457629 
-6.5036922 -7.9034934 0.2213361 
-6.4642105 -7.8484583 0.1902294 
-6.5946193 -7.8556366 0.2919244 
-6.6867428 -7.8939219 0.2081756 
-6.5970120 -7.8412800 0.1770689 
-6.4773707 -7.8101730 0.2129612 
-6.5300131 -7.8077803 0.2261217 
-6.4534426 -7.7072816 0.1698904 
-6.4929242 -7.7204423 0.2392823 
-6.5001025 -7.7862449 0.2177469 
-6.4713888 -7.7503524 0.1926222 
-6.5611196 -7.7766738 0.2392823 
-6.5371914 -7.7790666 0.1555335 
-6.5922265 -7.7312098 0.1746760 
-6.5694947 -7.7838521 0.1651048 
-6.4845495 -7.8269229 0.2237289 
-6.5156560 -7.8125658 0.2919244 
-6.5539412 -7.7766738 0.2775674 
-6.5347986 -7.7862449 0.1375873 
-6.5539412 -7.9034934 0.0622134 
-6.5874410 -7.8664045 0.1818545 
-6.4953170 -7.7790666 0.2344966 
-6.5611196 -7.9034934 0.2596213 
-6.5778694 -7.9250288 0.2033899 
