Description: Acceleration measurements for 3 axes
Lines: 80001
TS: 442153538 ms 
Sampling frequency: 26757 Hz 
Units: m/s^2
Data:
-8.0362949 -6.1651077 0.1495514 
-8.0123663 -6.1351972 0.1674976 
-7.9764743 -6.1112690 0.1986043 
-7.9609208 -6.0741801 0.2344966 
-8.0207415 -6.0801625 0.2344966 
-7.9262252 -6.1411791 0.2177469 
-8.0099735 -6.2117677 0.2775674 
-8.1810608 -6.0717874 0.3373880 
-8.0638123 -6.0299129 0.2979064 
-8.0470629 -6.1220369 0.2404787 
-8.0650091 -6.0562339 0.2009971 
-7.9417782 -6.0323057 0.1256232 
-7.9549389 -6.0933228 0.1866402 
-8.0997047 -6.2093749 0.3002992 
-8.0913296 -6.1854467 0.2404787 
-8.1236324 -6.0897336 0.2847459 
-8.1212397 -6.1591253 0.3373880 
-8.1188469 -6.1806607 0.2512464 
-8.0997047 -6.1040907 0.1292124 
-8.0973120 -6.1591253 0.2333002 
-8.1679001 -6.1782680 0.2404787 
-7.9836526 -6.0670018 0.2057827 
-8.0051880 -6.0801625 0.3026921 
-8.1391859 -6.1567326 0.2356930 
-7.9896350 -6.0478592 0.1842473 
-8.0075808 -6.0717874 0.2297110 
-8.0781689 -6.1974106 0.2871387 
-8.0602226 -6.1998034 0.2823531 
-8.0578299 -6.1710896 0.2536392 
-8.0733833 -6.1172509 0.3421736 
-8.1080799 -6.0729837 0.2273182 
-8.0949192 -6.0753765 0.2021935 
-8.1367931 -6.1112690 0.2560320 
-8.0650091 -6.0777693 0.0849452 
-8.1044903 -6.2285175 0.1411765 
-8.1966143 -6.1627145 0.2141576 
-8.1152582 -5.9365931 0.1208375 
-8.1020975 -6.0370917 0.1890330 
-8.1487579 -6.1734824 0.2201397 
-8.0674019 -6.2285175 0.0957129 
-8.0315094 -6.1483579 0.0957129 
-8.0817585 -6.0909300 0.1806581 
-8.1882391 -6.2045889 0.3086741 
-8.1475611 -6.1196437 0.2644069 
